Number,Direction,Feet,boundary
395,1.467911079,13,Goshen Rural Fire Protection District
396,91.46998259,189.57,Goshen Rural Fire Protection District
397,189.3907566,15.16,Goshen Rural Fire Protection District
398,92.20233027,183.39,Goshen Rural Fire Protection District
399,181.4901683,56.22,Goshen Rural Fire Protection District
400,94.29937367,85.29,Goshen Rural Fire Protection District
401,95.6162429,85.29,Goshen Rural Fire Protection District
402,96.93312778,85.29,Goshen Rural Fire Protection District
403,98.24979829,85.29,Goshen Rural Fire Protection District
404,102.5496813,58.9,Goshen Rural Fire Protection District
405,104.7100673,58.9,Goshen Rural Fire Protection District
406,106.8708566,58.9,Goshen Rural Fire Protection District
407,109.0315154,58.9,Goshen Rural Fire Protection District
408,110.7517268,36.7,Goshen Rural Fire Protection District
409,93.25856348,853.7,Goshen Rural Fire Protection District
410,142.5968596,16.65,Goshen Rural Fire Protection District
411,145.0876216,39.25,Goshen Rural Fire Protection District
412,147.9826369,39.25,Goshen Rural Fire Protection District
413,153.9630192,1665.08,Goshen Rural Fire Protection District
414,187.0127189,398.43,Goshen Rural Fire Protection District
415,207.7079873,206.71,Goshen Rural Fire Protection District
416,192.018186,399.68,Goshen Rural Fire Protection District
417,164.8627752,114.66,Goshen Rural Fire Protection District
418,179.4244175,221.4,Goshen Rural Fire Protection District
419,199.1719384,95.54,Goshen Rural Fire Protection District
420,177.7171744,357.97,Goshen Rural Fire Protection District
421,177.717329,46.28,Goshen Rural Fire Protection District
422,182.760403,185.82,Goshen Rural Fire Protection District
423,251.9280045,187.72,Goshen Rural Fire Protection District
424,163.9509093,533.13,Goshen Rural Fire Protection District
425,89.73560836,303.24,Goshen Rural Fire Protection District
426,353.7652205,839.2,Goshen Rural Fire Protection District
427,160.3632481,420.77,Goshen Rural Fire Protection District
428,166.7219069,50.91,Goshen Rural Fire Protection District
429,170.1805057,240.99,Goshen Rural Fire Protection District
430,165.9030699,1976.79,Goshen Rural Fire Protection District
431,91.26546125,3203.62,Goshen Rural Fire Protection District
432,181.2813351,1355.41,Goshen Rural Fire Protection District
433,90.37305825,1337.42,Goshen Rural Fire Protection District
434,1.484580034,741.23,0
435,91.96031978,1314.1,0
436,1.395435835,353.77,0
437,95.04154112,351.65,0
438,93.51939984,359.14,0
439,91.59578441,429.9,0
440,102.0958524,194.18,0
441,106.7614878,193.35,0
442,111.2205325,385.55,0
443,111.9852739,370.68,0
444,112.3511137,521.74,0
445,110.5445577,117.79,0
446,116.1283755,459.5,0
447,118.9552037,315.09,Goshen Rural Fire Protection District
448,120.8812993,370.72,Goshen Rural Fire Protection District
449,126.3255913,341.65,Goshen Rural Fire Protection District
450,137.3204961,991.87,Goshen Rural Fire Protection District
451,195.5240629,543.67,Goshen Rural Fire Protection District
452,189.4623984,486.81,Goshen Rural Fire Protection District
453,158.1985697,1175.4,Goshen Rural Fire Protection District
454,165.7741026,532.9,Goshen Rural Fire Protection District
455,214.2158053,439.91,Goshen Rural Fire Protection District
456,156.9746037,316.21,Goshen Rural Fire Protection District
457,159.8423816,1224.54,Goshen Rural Fire Protection District
458,217.9332658,627.26,Goshen Rural Fire Protection District
459,215.0594294,1013.26,Goshen Rural Fire Protection District
460,206.1616882,462.04,Goshen Rural Fire Protection District
461,180,189.17,Goshen Rural Fire Protection District
462,171.027136,139.95,Goshen Rural Fire Protection District
463,151.6986635,107.42,Goshen Rural Fire Protection District
464,140.710785,206.81,Goshen Rural Fire Protection District
465,107.8188232,213.98,Goshen Rural Fire Protection District
466,102.307993,409.57,Goshen Rural Fire Protection District
467,110.5553904,124.32,Goshen Rural Fire Protection District
468,111.3180863,640.41,Goshen Rural Fire Protection District
469,105.6422081,755.53,Goshen Rural Fire Protection District
470,120.4341379,675.06,Goshen Rural Fire Protection District
471,107.2096327,860.67,Goshen Rural Fire Protection District
472,110.7256183,575.64,Goshen Rural Fire Protection District
473,120.7446206,583.68,Goshen Rural Fire Protection District
474,95.9832017,278.35,Goshen Rural Fire Protection District
475,88.11178862,662.43,Goshen Rural Fire Protection District
476,89.25522781,440.98,Goshen Rural Fire Protection District
477,2.107450238,173.65,Pleasant Hill Rural Fire Protection District
478,91.75300326,818.74,Pleasant Hill Rural Fire Protection District
479,2.167740014,570.23,Pleasant Hill Rural Fire Protection District
480,91.82655924,4367.88,0
481,2.338860643,5434.65,Pleasant Hill Rural Fire Protection District
482,271.9689327,1274.84,Pleasant Hill Rural Fire Protection District
483,1.84732731,1589.3,Pleasant Hill Rural Fire Protection District
484,91.45669755,2095.21,Pleasant Hill Rural Fire Protection District
485,182.1043216,1609.66,Pleasant Hill Rural Fire Protection District
486,92.04678348,2145.99,Pleasant Hill Rural Fire Protection District
487,182.1464428,1257.48,Pleasant Hill Rural Fire Protection District
488,91.75066897,1282.42,Pleasant Hill Rural Fire Protection District
489,1.717289418,2901.8,Pleasant Hill Rural Fire Protection District
490,91.73213511,370.38,0
491,1.595139257,1013.12,Pleasant Hill Rural Fire Protection District
492,291.4915121,259.65,Pleasant Hill Rural Fire Protection District
493,15.2416783,144.5,Pleasant Hill Rural Fire Protection District
494,38.26782674,138.23,Pleasant Hill Rural Fire Protection District
